name,level,mechanic,equipment,primary_muscles,secondary_muscles,instructions,category,images,tag,priority
Shrugs Langhantel,Anfänger,Isolation,Langhantel,"[""Trapez""]",[],"[""Stehe aufrecht und halte eine Langhantel vor deinem Körper."", ""Ziehe deine Schultern so hoch wie möglich zu deinen Ohren."", ""Senke die Schultern langsam wieder ab.""]","[""Rücken""]",[],"[""rücken"", ""nacken""]",2
Rückenstrecken,Anfänger,Isolation,Hyperextensionsbank,"[""Erector spinae""]","[""Gluteus""]","[""Lege dich auf die Hyperextensionsbank und hake deine Füße unter den Stützen ein."", ""Beuge deinen Oberkörper nach unten, bis er parallel zum Boden ist."", ""Strecke deinen Oberkörper wieder nach oben, bis er in einer Linie mit deinen Beinen ist.""]","[""Rücken""]",[],"[""rücken"", ""unterer rücken""]",1
Rückenstrecker Gerät,Anfänger,Isolation,Rückenstrecker-Maschine,"[""Erector spinae""]","[""Gluteus maximus""]","[""Setze dich in das Rückenstrecker-Gerät und lege die Füße auf die vorgesehenen Stützen."", ""Beuge den Oberkörper nach vorne und drücke dich dann mit den Rückenstreckern wieder auf."", ""Kehre kontrolliert in die Ausgangsposition zurück.""]","[""Rücken""]",[],"[""rücken"", ""unterer rücken""]",2
Kreuzheben,Experte,Grundübung,Langhantel,"[""Latissimus dorsi"", ""Erector spinae""]","[""Gluteus"", ""Beinbizeps"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander vor eine Langhantel."", ""Beuge dich an den Hüften und greife die Langhantel mit beiden Händen."", ""Hebe die Langhantel an, indem du dich aufrichtest und die Hüften streckst."", ""Halte während der Ausführung ein Hohlkreuz."", ""Senke die Langhantel langsam wieder ab, bis sie den Boden berührt.""]","[""Rücken""]",[],"[""beine"", ""pull""]",1
Kreuzheben Kurzhantel,Anfänger,Grundübung,Kurzhanteln,"[""Latissimus dorsi"", ""Erector spinae""]","[""Gluteus"", ""Beinbizeps"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander und halte eine Kurzhantel in jeder Hand."", ""Beuge dich an den Hüften und lasse die Kurzhanteln vor deinen Beinen nach unten gleiten."", ""Hebe die Kurzhanteln an, indem du dich aufrichtest und die Hüften streckst."", ""Halte während der Ausführung ein Hohlkreuz."", ""Senke die Kurzhanteln langsam wieder ab, bis sie fast den Boden berühren.""]","[""Rücken""]",[],"[""beine"", ""pull""]",3
Rumänisches Kreuzheben,Fortgeschritten,Grundübung,Langhantel,"[""Erector spinae"", ""Beinbizeps""]","[""Gluteus Maximus:"", ""Trapez""]","[""Stelle dich mit den Füßen schulterbreit auseinander vor eine Langhantel."", ""Beuge dich an den Hüften und greife die Langhantel mit beiden Händen."", ""Hebe die Langhantel an, indem du die Hüften streckst, aber halte deine Knie leicht gebeugt."", ""Senke die Langhantel langsam wieder ab, indem du die Hüften beugst und den Rücken gerade hältst.""]","[""Rücken""]",[],"[""beine"", ""pull""]",2
Kurzhantel Rumänisches Kreuzheben,Anfänger,Grundübung,Kurzhantel,"[""Erector spinae"", ""Beinbizeps""]","[""Gluteus Maximus:"", ""Trapez""]","[""Stehe aufrecht mit einer Kurzhantel in jeder Hand."", ""Beuge die Hüften nach hinten und senke die Kurzhanteln entlang der Beine."", ""Drücke die Hüften nach vorne, um wieder in die aufrechte Position zu gelangen.""]","[""Beine""]",[],"[""beine"", ""pull""]",3
Überzüge Kabelzug,Anfänger,Isolation,Kabelzugmaschine,"[""Latissimus dorsi""]","[""Brustmuskeln""]","[""Stelle dich vor eine Kabelzugmaschine und greife die Stange mit beiden Händen."", ""Ziehe die Stange mit gestreckten Armen nach unten, bis sie auf Höhe deiner Oberschenkel ist."", ""Lasse die Stange langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""adduktion""]",1
Überzüge Maschine,Anfänger,Isolation,Pullover-Maschine,"[""Latissimus dorsi""]","[""Brustmuskeln""]","[""Setze dich an die Pullover-Maschine und greife die Griffe."", ""Ziehe die Griffe mit gestreckten Armen nach unten, bis sie auf Höhe deiner Oberschenkel sind."", ""Lasse die Griffe langsam wieder nach oben gleiten, bis deine Arme gestreckt sind.""]","[""Rücken""]",[],"[""rücken"", ""adduktion""]",2
Kniebeugen,Fortgeschritten,Grundübung,Langhantel,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger"", ""Erector spinae""]","[""Stehe schulterbreit mit einer Langhantel auf den Schultern."", ""Beuge die Knie und senke die Hüften, als würdest du dich hinsetzen."", ""Halte den Rücken gerade und die Knie hinter den Zehen."", ""Drücke dich explosiv nach oben, bis die Beine gestreckt sind."", ""Halte während der Ausführung ein leichtes Hohlkreuz.""]","[""Beine""]",[],"[""beine"", ""push""]",1
Beinpresse,Anfänger,Grundübung,Beinpresse-Maschine,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Setze dich in die Beinpresse-Maschine und platziere die Füße schulterbreit auf der Plattform."", ""Drücke die Plattform nach oben, bis die Beine gestreckt sind."", ""Beuge die Knie und senke die Plattform langsam ab, bis die Knie einen 90-Grad-Winkel bilden.""]","[""Beine""]",[],"[""beine"", ""push""]",3
Kniebeuge Maschine,Anfänger,Grundübung,Kniebeuge-Maschine,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Stelle dich in die Kniebeuge-Maschine und platziere die Füße schulterbreit auf der Plattform."", ""Beuge die Knie und senke die Hüften, als würdest du dich hinsetzen."", ""Halte den Rücken gerade und die Knie hinter den Zehen."", ""Drücke dich explosiv nach oben, bis die Beine gestreckt sind.""]","[""Beine""]",[],"[""beine"", ""push""]",4
Ausfallschritte,Fortgeschritten,Grundübung,Kurzhanteln,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Stehe aufrecht mit einer Kurzhantel in jeder Hand."", ""Mache einen großen Schritt nach vorne und beuge das vordere Knie, bis der Oberschenkel parallel zum Boden ist."", ""Drücke dich zurück in die Ausgangsposition und wechsle das Bein.""]","[""Beine""]",[],"[""beine"", ""push""]",5
Bulgarische Kniebeugen,Experte,Grundübung,Kurzhanteln,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Stelle einen Fuß auf eine Bank hinter dir und halte eine Kurzhantel in jeder Hand."", ""Beuge das vordere Knie, bis der Oberschenkel parallel zum Boden ist."", ""Drücke dich zurück in die Ausgangsposition.""]","[""Beine""]",[],"[""beine"", ""push""]",6
Beinstrecker,Anfänger,Isolation,Beinstrecker-Maschine,"[""Quadrizeps""]",[],"[""Setze dich in die Beinstrecker-Maschine und platziere die Füße unter den Polstern."", ""Strecke die Beine nach oben, bis sie vollständig gestreckt sind."", ""Beuge die Knie und senke die Füße langsam wieder ab.""]","[""Beine""]",[],"[""beine"", ""quadrizeps""]",1
Beinpresse tief,Fortgeschritten,Grundübung,Beinpresse-Maschine,"[""Quadrizeps"", ""Gluteus maximus""]","[""Adduktoren"", ""Beinbeuger""]","[""Setze dich in die Beinpresse-Maschine und platziere die Füße tief auf der Plattform."", ""Drücke die Plattform nach oben, bis die Beine gestreckt sind."", ""Beuge die Knie und senke die Plattform langsam ab, bis die Knie einen 90-Grad-Winkel bilden.""]","[""Beine""]",[],"[""beine"", ""quadrizeps""]",2
Beinbeuger,Anfänger,Isolation,Beinbeuger-Maschine,"[""Beinbeuger""]","[""Gluteus maximus""]","[""Setze dich in die Beinbeuger-Maschine und platziere die Füße unter den Polstern."", ""Beuge die Knie und ziehe die Füße nach unten."", ""Strecke die Beine langsam wieder aus.""]","[""Beine""]",[],"[""beine"", ""hamstrings""]",1
Hyperextensions,Anfänger,Isolation,Hyperextensionsbank,"[""Erector spinae""]","[""Gluteus""]","[""Lege dich auf die Hyperextensionsbank und hake deine Füße unter den Stützen ein."", ""Beuge deinen Oberkörper nach unten, bis er parallel zum Boden ist."", ""Strecke deinen Oberkörper wieder nach oben, bis er in einer Linie mit deinen Beinen ist.""]","[""Beine""]",[],"[""beine"", ""hamstrings""]",2
Wadenheben Maschine,Anfänger,Isolation,Wadenheben-Maschine,"[""Soleus"", ""Gastrocnemius""]",[],"[""Stelle dich auf die Plattform der Wadenheben-Maschine und platziere die Schultern unter den Polstern."", ""Hebe die Fersen so hoch wie möglich an."", ""Senke die Fersen langsam wieder ab.""]","[""Beine""]",[],"[""beine"", ""waden""]",1
Wadenheben sitzen,Anfänger,Isolation,Sitzende Wadenheben-Maschine,"[""Soleus"", ""Gastrocnemius""]",[],"[""Setze dich auf die Wadenheben-Maschine und platziere die Füße auf der Plattform."", ""Hebe die Fersen so hoch wie möglich an."", ""Senke die Fersen langsam wieder ab.""]","[""Beine""]",[],"[""beine"", ""waden""]",2
Wadenheben Kurzhantel,Fortgeschritten,Isolation,Kurzhanteln,"[""Soleus"", ""Gastrocnemius""]",[],"[""Stehe aufrecht und halte eine Kurzhantel in jeder Hand."", ""Hebe die Fersen so hoch wie möglich an."", ""Senke die Fersen langsam wieder ab.""]","[""Beine""]",[],"[""beine"", ""waden""]",3
Schulterdrücken Kurzhantel,Fortgeschritten,Grundübung,Kurzhanteln,"[""Deltoideus (alle Anteile)""]","[""Trizeps""]","[""Setze dich auf eine Bank mit Rückenlehne und halte in jeder Hand eine Kurzhantel auf Schulterhöhe."", ""Drücke die Kurzhanteln nach oben, bis die Arme gestreckt sind."", ""Senke die Kurzhanteln langsam wieder auf Schulterhöhe ab.""]","[""Schulter""]",[],"[""schulter"", ""vordere"", ""push""]",1
Schulterdrücken Langhantel,Fortgeschritten,Grundübung,Langhantel,"[""Deltoideus (alle Anteile)""]","[""Trizeps""]","[""Setze dich auf eine Bank mit Rückenlehne und halte die Langhantel auf Schulterhöhe."", ""Drücke die Langhantel nach oben, bis die Arme gestreckt sind."", ""Senke die Langhantel langsam wieder auf Schulterhöhe ab.""]","[""Schulter""]",[],"[""schulter"", ""vordere"", ""push""]",2
Schulterdrücken Multipresse,Anfänger,Grundübung,Smith-Maschine,"[""Deltoideus (alle Anteile)""]","[""Trizeps""]","[""Setze dich auf eine Bank mit Rückenlehne in der Smith-Maschine und halte die Stange auf Schulterhöhe."", ""Drücke die Stange nach oben, bis die Arme gestreckt sind."", ""Senke die Stange langsam wieder auf Schulterhöhe ab.""]","[""Schulter""]",[],"[""schulter"", ""vordere"", ""push""]",3
Schulterdrücken Gerät,Anfänger,Grundübung,Schulterpresse-Maschine,"[""Deltoideus (alle Anteile)""]","[""Trizeps""]","[""Setze dich an die Schulterpresse-Maschine und greife die Griffe auf Schulterhöhe."", ""Drücke die Griffe nach oben, bis die Arme gestreckt sind."", ""Senke die Griffe langsam wieder auf Schulterhöhe ab.""]","[""Schulter""]",[],"[""schulter"", ""vordere"", ""push""]",4
Frontheben,Anfänger,Isolation,Kurzhantel,"[""Deltoideus anterior""]","[""Trapezius""]","[""Stelle dich aufrecht hin und halte eine Kurzhantel in jeder Hand."", ""Hebe die Kurzhanteln vor dir auf Schulterhöhe an, die Arme leicht gebeugt."", ""Lasse die Kurzhanteln kontrolliert wieder nach unten sinken.""]","[""Schultern""]",[],"[""schultern"", ""vorderer"", ""adduktion""]",1
Seitheben Gerät,Anfänger,Isolation,Seitheben-Maschine,"[""Deltoideus (seitlicher Anteil)""]",[],"[""Setze dich an die Seitheben-Maschine und greife die Griffe an den Seiten."", ""Hebe die Arme seitlich an, bis sie parallel zum Boden sind."", ""Senke die Arme langsam wieder ab.""]","[""Schulter""]",[],"[""schulter"", ""seitliche"", ""abduktion""]",1
Seitheben Kurzhantel,Anfänger,Isolation,Kurzhanteln,"[""Deltoideus (seitlicher Anteil)""]",[],"[""Stehe aufrecht und halte in jeder Hand eine Kurzhantel an den Seiten."", ""Hebe die Kurzhanteln seitlich an, bis die Arme parallel zum Boden sind."", ""Senke die Kurzhanteln langsam wieder ab.""]","[""Schulter""]",[],"[""schulter"", ""seitliche"", ""abduktion""]",2
Seitheben Kabelzug,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Deltoideus (seitlicher Anteil)""]",[],"[""Stelle dich seitlich zur Kabelzugmaschine und greife den Griff mit einer Hand."", ""Hebe den Arm seitlich an, bis er parallel zum Boden ist."", ""Senke den Arm langsam wieder ab.""]","[""Schulter""]",[],"[""schulter"", ""seitliche"", ""abduktion""]",3
Reverse Butterfly Gerät,Anfänger,Isolation,Reverse Flys Maschine,"[""Deltoideus (hinterer Anteil)""]","[""Rhomboiden"", ""Trapez""]","[""Setze dich an die Reverse Flys Maschine und greife die Griffe."", ""Ziehe die Griffe nach hinten, bis deine Arme parallel zum Boden sind."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren.""]","[""Schulter""]",[],"[""schulter"", ""hintere"", ""abduktion""]",1
Reverse Butterfly Kabelzug,Fortgeschritten,Isolation,Kabelzugmaschine,"[""Deltoideus (hinterer Anteil)""]","[""Rhomboiden"", ""Trapez""]","[""Stelle dich in die Mitte einer Kabelzugmaschine und greife die Griffe über Kreuz."", ""Ziehe die Griffe nach hinten, bis deine Arme parallel zum Boden sind."", ""Lasse die Griffe langsam wieder in die Ausgangsposition zurückkehren.""]","[""Schulter""]",[],"[""schulter"", ""hintere"", ""abduktion""]",2
Reverse Butterfly Kurzhantel,Fortgeschritten,Isolation,Kurzhanteln,"[""Deltoideus (hinterer Anteil)""]","[""Rhomboiden"", ""Trapez""]","[""Beuge dich an den Hüften nach vorne und halte in jeder Hand eine Kurzhantel unter deinen Schultern."", ""Hebe die Arme seitlich an, bis sie parallel zum Boden sind."", ""Senke die Arme langsam wieder ab.""]","[""Schulter""]",[],"[""schulter"", ""hintere"", ""abduktion""]",3
Face Pulls,Anfänger,Isolation,Kabelzugmaschine,"[""Deltoideus (hinterer Anteil)"", ""Rhomboiden""]","[""Trapez""]","[""Stelle dich vor eine Kabelzugmaschine und greife das Seil mit beiden Händen."", ""Ziehe das Seil zu deinem Gesicht, wobei deine Ellbogen nach außen zeigen."", ""Lasse das Seil langsam wieder in die Ausgangsposition gleiten.""]","[""Schulter""]",[],"[""schulter"", ""hintere"", ""adduktion""]",1
